0	-5.263
1	-4.108
2	-3.172
3	-2.589
4	-2.111
5	-1.788
6	-1.84
7	-1.958
8	-2.579
9	-3.233
10	-4.019
11	-5.062
12	-5.957
13	-6.42
14	-6.798
15	-7.01
16	-7.295
17	-7.727
18	-7.963
19	-8.088
20	-8.137
21	-8.114
22	-7.841
23	-7.723
24	-7.588
25	-7.535
26	-7.459
27	-7.217
28	-7.19
29	-7.186
30	-7.398
31	-7.664
32	-7.786
33	-7.66
34	-7.496
35	-7.021
36	-6.656
37	-6.258
38	-6.074
39	-6.35
40	-6.79
41	-7.099
42	-7.352
43	-7.614
44	-7.591
45	-7.287
46	-7.259
47	-7.413
48	-7.482
49	-7.165
50	-6.977
51	-6.959
52	-7.295
53	-7.762
54	-8.031
55	-8.115
56	-7.939
57	-7.5
58	-7.134
59	-7.001
60	-6.798
61	-6.593
62	-6.26
63	-5.745
64	-4.849
65	-4.143
66	-3.404
67	-2.852
68	-2.407
69	-1.632
70	-0.846
71	-0.301
72	-0.044
73	-0.587
74	-1.527
75	-2.455
76	-3.181
77	-3.912
78	-4.72
79	-5.47
80	-6.091
81	-6.301
82	-6.248
83	-5.865
84	-5.746
85	-6.216
86	-6.787
87	-7.112
88	-7.088
89	-6.626
90	-6.048
91	-5.743
92	-5.529
93	-5.263
94	-4.703
95	-3.594
96	-2.632
97	-2.197
98	-1.768
99	-1.232
100	-0.863
101	-0.769
102	-0.827
103	-0.632
104	-0.368
105	-0.283
106	-0.017
107	0.318
108	0.764
109	1.103
110	1.465
111	1.675
112	1.077
113	0.242
114	-0.335
115	-0.477
116	-0.567
117	-0.421
118	0.08
119	0.426
120	0.672
121	0.7
122	0.669
123	0.68
124	0.438
125	-0.078
126	-0.541
127	-0.643
128	-0.563
129	-0.305
130	0.292
131	1.073
132	1.504
133	1.954
134	2.73
135	3.253
136	3.505
137	3.466
138	3.087
139	2.558
140	1.91
141	1.64
142	1.448
143	0.981
144	0.454
145	0.261
146	0.397
147	0.602
148	0.68
149	0.593
150	0.537
151	0.565
152	1.075
153	1.583
154	1.958
155	2.254
156	2.867
157	3.529
158	3.775
159	3.868
160	4.13
161	4.52
162	4.605
163	4.461
164	4.04
165	3.397
166	2.987
167	2.948
168	2.9
169	2.712
170	2.54
171	2.22
172	1.921
173	2.019
174	2.226
175	2.119
176	1.681
177	1.308
178	1.509
179	1.927
180	2.552
181	2.773
182	2.987
183	3.393
184	3.746
185	3.772
186	3.912
187	3.907
188	3.318
189	2.904
190	2.996
191	3.51
192	3.676
193	3.915
194	4.278
195	4.28
196	4.103
197	4.082
198	4.06
199	4.311
200	4.348
201	4.256
202	4.186
203	4.256
204	4.178
205	4.053
206	4.121
207	4.125
208	4.125
209	4.317
210	4.805
211	5.285
212	5.883
213	5.979
214	6.079
215	6.38
216	6.735
217	6.807
218	7.223
219	7.239
220	6.623
221	5.905
222	5.187
223	4.494
224	3.81
225	3.225
226	2.938
227	2.909
228	3.441
229	4.535
230	5.551
231	5.979
232	6.175
233	6.319
234	6.349
235	6.726
236	7.173
237	7.801
238	8.317
239	8.543
240	9.323
241	10.477
242	11.421
243	11.458
